んあ？,今日はクリスマス…そしてイヴ…クリスマスと言えばサンタクロース…そしてプレゼント！
今日はクリスマス…そしてイヴ…クリスマスと言えばサンタクロース…そしてプレゼント！,そうよ！私たちがサンタクロースになって、みんなにプレゼントを配ればいいのよ！
はぁ？,ふふ…そうすれば私からのプレゼントに感動した妖怪たちが、お正月に大量のお賽銭を持ってくる。どうよこの方程式
なんだよその滅茶苦茶な提案は…,とゆーわけで、魔理沙、あんたも手伝いなさい
は？なんで私まで協力する方向に話が進んでるんだよ？,この話を聞いたからには仲間同然。同じ人間だし！
いやいやいや、待て。意味わかんねーよ,名付けて『霊夢アンド魔理沙のサンタクロースで賽銭箱ウッハウハ大作戦』
私は関係無いだろー,あんた、たまには恩返しでもしたらどうなの
恩返しだぁ？,いっつも借りたもの借りっぱなしで。お礼の一つでもしたことあるの？
私はいいんだよ。そんなことしなくて,どうしてよ？
…とか、言ってるに違いないぜ,あんた…どんだけ自意識過剰なのよ…
あんた…どんだけ自意識過剰なのよ…,…というかあんた、結構鈍感な振りして気づいてるのね…
なんのことだ？,むぅ…とにかく、アイドルならアイドルらしく、ファンサービスでもすればぁ？
ま、霊夢がどうしてもって言うなら、付いて行ってやるよ。面白い事もありそうだしな。ちょうど退屈してたんだ  よ,言っとくけど…分け前は、ないわよ
まずはアリスからだな,ま、あんたいつもお世話んなってるからね
逆だろ？私がいつもお世話してるんだよ,どうだか。さ、とっとと入るわよ
ちょっと待った！,はっ…ちょっと何よ！おっきな声出して！アリス起きちゃうわよ
こういう時は…よっこらせっ…と…ふぅ…窓から入るに限るぜ,さすが、入り慣れてるわね
まーなー,それにしても無用心ね。窓開けっ放し
人形がいるし、いつでも私が入って来れるようにしてるんだろ,まあ…アリスの人形は確かにおっかないものね
プレゼントは…っと、これだな,プレゼントっていうか…これあんたが借りてた本とか人形とかじゃない
そんなことないぜ。借りた本と人形と、もう一つあるんだぜ,そうなの？…まあ、どうでもいいけど
おお、寝てる寝てる。ぐっすり。寝てる時は無防備でかわいいのになぁ,ほら、早くプレゼント置いていくわよ。後があるんだから
うぅん…魔理沙ぁ…,あっ！…あんたの声でかいから、起きちゃったんじゃ
ば…バーカ…ダメよ…あぁっ！あっ…魔理沙…中は、中はらめぇ！きのこらめぇ！,き…気持ち悪いわね…早く行きましょう
き…気持ち悪いわね…早く行きましょう,うわ…ガッチリ、つかんでるわね
見てないで助けろ！,…なんかもうそのまま一緒に朝まで寝ちゃえば？幸せそうじゃない
ふ、ふざけんな！んなこと、霊夢の手伝いできなくなるぞ！,んー…それは、困るわねぇ
な、早く助けてくれよ！,魔理沙
なんだよ,アリスにキスしなさい
うぅ…,で…出来るかぁ！
マスタースパーク！,家ごとふっ飛ばすことなかったんじゃないの？ああもう、私まで巻き込まれちゃったじゃないの
霊夢が、きききき、キスとか言うからだろ,だってぇ、それで満足してくれると思ったんだもの
楽しんでたくせに,ん？うふふ。それで、もう一つのプレゼントって、何だったの？
そ、それは、な、内緒なんだぜ。ほ、ほら次行くぞ,んーと…次は腋ね
腋ってお前も腋だろ…,ハァ？こいつと一緒にしないでくれる？私の腋はね、こんな純情気取りの巫女とは価値が違うのよ！
しーっ…あんまり騒ぐと起きるぜ,あっ…ん…と、とりあえずプレゼントね
えっと…これだな、って。なんだよコレ…,素晴らしいプレゼントでしょう？
藁人形…五寸釘付き呪いのお札…毒入りおはぎ…,あら、違うわよ。可愛いお人形に、金運上昇お守りに、霊夢さん特性スペシャルおはぎよ
そうは見えない,ほ～ら、腋女さ～ん。霊夢様からプレゼントですよ～。ありがた～く受け取りなさ～い
どんだけライバル視してんだよ…,うふふ…あはは…あははは…あはははは！…ら…落書きしちゃおっ♪
お、おい、いい加減にしないと目を覚ますぜ,あーあははっ、流石にやりすぎたかしら？でもすっごい気持ちいいわ～。すっきりしたし、行きましょ、次
う…ぅ…うぅ…さ…サンタさんの愛…す…すごく…刺激的…です…うっ…うぅ…,あー、すっきりした♪
おっかねえ…次は紅魔館のメイドだな,仕方ないから、この隠し撮りをしたチビ悪魔の写真をくれてあげるわ
いつの間にこんなものを…,天狗から巻き上げたのよ。いつか役ん立つかも―って思って。でも役に立たなかったわ
はぁ…,だって幻想郷一強い私はこんなものを使わなくったって、このパットメイドには余裕で勝てるんですもの
はいはい。それにしてもよくこんなもん撮れたな…水着姿に着替えシーン…入浴シーン…,それが本職だし、当然じゃない？
しかし…こんなもん見て喜ぶのこいつだけだよなーｲﾗﾈｰ,言えてるわ…ほら、こんなこと言ってる間にも鼻血出してる
お、お嬢様…い、いけません…そんな…そんなぁぁぁ…そんな刺激的なお洋服…は、鼻血が…に、似合いすぎて…あ  ぁ、その服で私を蹴ってください…,だって幻想郷一強い私はこんなものを使わなくったって、このパットメイドには余裕で勝てるんですもの
はいはい。それにしてもよくこんなもん撮れたな…水着姿に着替えシーン…入浴シーン…,それが本職だし、当然じゃない？
しかし…こんなもん見て喜ぶのこいつだけだよなーｲﾗﾈｰ,言えてるわ…ほら、こんなこと言ってる間にも鼻血出してる
スッゲー幸せそうだな…,なんか…私たちの身近って気持ち悪い奴多いわね…あぁ…この写真見たら鼻血どころじゃないんじゃないの
ん？,はっ！
お嬢様の寝込みを襲う前に、メイドの私を片付けておこうという作戦ね,なんか、すっごい誤解してない？
おもしれぇ、かかってこ,これを見なさい！
うぅっ！こ…これは…お、お嬢様のヌード写真！？,ほーら、ほら。こっちにも。こっちにも。こっちにも。あるわよ～
ち、血の海なんだぜー！,やっぱり、プレゼントとしてじゃなくて、ああいう使い方をするのが、正しいようね
